SHA256_Value,Verdict,Classification_tags,Mitre_Attack_Techniques
2471f62c23f3fb9b3090bd95a74af91b201ebce3d32a476068169ea3894942fe,malicious,[],"['Kernel Modules and Extensions', 'Process Discovery', 'PowerShell', 'Service Execution', 'Local Job Scheduling', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Disabling Security Tools', 'Email Collection', 'Data Compressed', 'System Information Discovery', 'Peripheral Device Discovery']"
a6aa0c889b83d05659c13d607d2403808eba431485c3da6a200388d116b59bb1,malicious,[],"['Kernel Modules and Extensions', 'File Deletion', 'Process Discovery', 'Service Execution', 'Remote Desktop Protocol', 'New Service', 'Query Registry', 'Process Injection', 'Peripheral Device Discovery']"
334dcfc4d0b6fcaa5fb9324c9895092bfa3d39719d8367aad53b57b558fd2dce,malicious,[],"['Kernel Modules and Extensions', 'Modify Registry', 'File and Directory Discovery', 'Process Discovery', 'Service Execution', 'Registry Run Keys / Start Folder', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Data Compressed']"
20f9597dff0e5d7ccd2de26d1ee286e220c5820d94903d40df1fd957012a16e6,malicious,[],"['Kernel Modules and Extensions', 'Uncommonly Used Port', 'Process Discovery', 'Registry Run Keys / Start Folder', 'Security Software Discovery', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery', 'Network Service Scanning']"
9faeef6fb0333ee2a079d6da5ab079ce0949db198eec484c23006f44b0006699,malicious,['evasive'],"['Kernel Modules and Extensions', 'Modify Registry', 'Process Discovery', 'Service Execution', 'Remote Desktop Protocol', 'Remote System Discovery', 'Query Registry', 'Process Injection', 'Hooking']"
615482168b155ea56c28e06f4a6c6ef7f3878d8bd6a00f6f658958968fcc6cb1,malicious,[],"['Kernel Modules and Extensions', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Process Injection', 'Hooking', 'Data Compressed', 'System Information Discovery', 'Network Service Scanning']"
f72971dd56ef86cfe7c0881e96d0154307a545d5cbc0f63efb2d42cc0e0f02aa,malicious,[],"['Data Compressed', 'Kernel Modules and Extensions', 'Code Signing', 'Network Service Scanning']"
f02b683579d5a405fbccb24c0badbef3468cbf1f923597b64ddb271995dadb2a,malicious,[],"['Kernel Modules and Extensions', 'File and Directory Discovery', 'Windows Management Instrumentation', 'Query Registry', 'System Time Discovery', 'Hooking', 'Data Compressed']"
5efce7f5bc84e081dd1168705d326518a3e93260a8edd2b0aa9866510051c82a,malicious,[],"['Kernel Modules and Extensions', 'Security Software Discovery', 'Query Registry', 'Hooking', 'Peripheral Device Discovery']"
de49d6e07c706ba0be11d1c1d17db2a274142a03b8ae4b50663912f880249324,malicious,['evasive'],"['Kernel Modules and Extensions', 'Windows Management Instrumentation', 'Query Registry', 'Code Signing', 'Hooking', 'Data Compressed', 'Peripheral Device Discovery']"
523e575ae62cf04fdb7474311087117acf35ad9a1e457645d148474f9aad0d18,malicious,['evasive'],"['Dynamic Data Exchange', 'Clipboard Data', 'File and Directory Discovery', 'Input Capture', 'System Time Discovery', 'Process Injection', 'Hooking', 'Data Compressed']"
6da625598f176bc01515f3ebb61fb06f5c4c7bbe0e33e557101ff2af982c8fba,malicious,[],"['Kernel Modules and Extensions', 'File Deletion', 'File and Directory Discovery', 'Process Discovery', 'Application Window Discovery', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Email Collection', 'Data Compressed']"
d3116ad84e9e40a246dc3d5dc52b5691fa4bf5f9d119ad0a6d0055a7f60e8334,malicious,['evasive'],"['Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Process Injection', 'Hooking', 'System Information Discovery']"
e68021aee4210da1c3ccffde37a289326d1ff0976923118122d215b523ea34f4,malicious,['evasive'],"['Kernel Modules and Extensions', 'Process Discovery', 'Application Window Discovery', 'Query Registry', 'Process Injection', 'Hooking']"
2713c470865dc1dd5422529bdc036d440bb9f4c9f3c7ca6d216b72b530ff0601,malicious,['evasive'],"['Data Compressed', 'Email Collection', 'Code Signing', 'Windows Management Instrumentation']"
d53411997d7468ee00ec5cd074c2845f0c7b5436083058a1966d8adafb0cc59f,malicious,[],"['Kernel Modules and Extensions', 'Modify Registry', 'File Deletion', 'Service Execution', 'Remote Desktop Protocol', 'Query Registry', 'Process Injection', 'Hooking']"
c8d6817bd1f54c01ad46064f8951254a9d4a1170e77a1ffb6ca799f468f6c42f,malicious,[],"['Kernel Modules and Extensions', 'File Deletion', 'Modify Registry', 'Service Execution', 'Remote Desktop Protocol', 'Query Registry', 'Process Injection', 'Hooking', 'Network Service Scanning']"
c0406355b3ba969e4943f2f6e4c8125ca89ed0ccc672765e2ef88a02d659800b,malicious,[],"['Modify Registry', 'Service Execution', 'Application Window Discovery', 'Process Injection', 'Hooking', 'Peripheral Device Discovery']"
c3701c62b4fad2cc0b792c91ab6cbada855bfc7b594c3311b547eecd2655a933,malicious,[],"['Kernel Modules and Extensions', 'Modify Registry', 'File Deletion', 'Service Execution', 'Remote Desktop Protocol', 'Query Registry', 'Process Injection', 'Hooking']"
d53411997d7468ee00ec5cd074c2845f0c7b5436083058a1966d8adafb0cc59f,malicious,[],"['Kernel Modules and Extensions', 'Modify Registry', 'File Deletion', 'Service Execution', 'Remote Desktop Protocol', 'Query Registry', 'Process Injection', 'Hooking']"
c8d6817bd1f54c01ad46064f8951254a9d4a1170e77a1ffb6ca799f468f6c42f,malicious,[],"['Kernel Modules and Extensions', 'File Deletion', 'Modify Registry', 'Service Execution', 'Remote Desktop Protocol', 'Query Registry', 'Process Injection', 'Hooking', 'Network Service Scanning']"
c0406355b3ba969e4943f2f6e4c8125ca89ed0ccc672765e2ef88a02d659800b,malicious,[],"['Modify Registry', 'Service Execution', 'Application Window Discovery', 'Process Injection', 'Hooking', 'Peripheral Device Discovery']"
dfa0b3ba73c809a03a72889b851768722a21338f36f4fa425e2fd96f5ad1e784,malicious,['evasive'],"['Kernel Modules and Extensions', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Process Injection', 'Hooking', 'System Information Discovery']"
989dd9fac9a379228ecbd2f095a0c12bc3dc7a25d00ced977da6fc5b4dcc54ef,malicious,['evasive'],"['Application Window Discovery', 'Query Registry', 'Remote Desktop Protocol', 'Process Discovery']"
f72971dd56ef86cfe7c0881e96d0154307a545d5cbc0f63efb2d42cc0e0f02aa,malicious,[],"['Data Compressed', 'Kernel Modules and Extensions', 'Code Signing', 'Network Service Scanning']"
f72971dd56ef86cfe7c0881e96d0154307a545d5cbc0f63efb2d42cc0e0f02aa,malicious,[],"['Data Compressed', 'Kernel Modules and Extensions', 'Code Signing', 'Network Service Scanning']"
f72971dd56ef86cfe7c0881e96d0154307a545d5cbc0f63efb2d42cc0e0f02aa,malicious,[],"['Data Compressed', 'Kernel Modules and Extensions', 'Code Signing', 'Network Service Scanning']"
f72971dd56ef86cfe7c0881e96d0154307a545d5cbc0f63efb2d42cc0e0f02aa,malicious,[],"['Data Compressed', 'Kernel Modules and Extensions', 'Code Signing', 'Network Service Scanning']"
f72971dd56ef86cfe7c0881e96d0154307a545d5cbc0f63efb2d42cc0e0f02aa,malicious,[],"['Data Compressed', 'Kernel Modules and Extensions', 'Code Signing', 'Network Service Scanning']"
f72971dd56ef86cfe7c0881e96d0154307a545d5cbc0f63efb2d42cc0e0f02aa,malicious,[],"['Data Compressed', 'Kernel Modules and Extensions', 'Code Signing', 'Network Service Scanning']"
26c9896e33866f244cd309a2eea9d919cf46614906a389700a53a1563574ab75,malicious,[],"['Hooking', 'Kernel Modules and Extensions', 'Remote Desktop Protocol', 'Query Registry']"
f2a330b80487b7c05f319d9dec9d7aae47e53a7f2cc460b7e8db7912d01b424f,malicious,[],['Data Compressed']
3f128fb1f98e4b90584b14cb29663cea46986457f51552983fb57be29e2a771a,malicious,[],"['Kernel Modules and Extensions', 'Modify Registry', 'File Deletion', 'Process Discovery', 'Service Execution', 'Application Window Discovery', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery', 'Peripheral Device Discovery', 'Network Service Scanning']"
b55838135b900d71f099b4d8b7a9e3a7e2040aae5551435a7bb2e7710fc8fcda,malicious,"['evasive', 'apt']","['Clipboard Data', 'Modify Registry', 'Service Execution', 'Input Capture', 'Application Window Discovery', 'Scripting', 'Process Injection', 'Hooking', 'System Time Discovery']"
fe9fa901ccf2bd25e4fafafd51fbe02a9852f7ff9f84839c2fe01460e724ba87,malicious,['macros-on-open'],"['Modify Registry', 'Service Execution', 'Office Application Startup', 'Application Window Discovery', 'Process Injection', 'Hooking']"
178ecff1af967d93d278cc35af1755be73d4a02cd6c091850da4bb4b44a82c68,malicious,['evasive'],"['Kernel Modules and Extensions', 'Clipboard Data', 'Modify Registry', 'File and Directory Discovery', 'Process Discovery', 'Service Execution', 'Input Capture', 'Access Token Manipulation', 'Application Window Discovery', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Email Collection', 'Data Compressed', 'System Information Discovery', 'Peripheral Device Discovery']"
fd0c25b766c3de259de3866fb6c2d744da698fcc7d4ebaeb547c3c05045e4cb5,malicious,['evasive'],"['Modify Registry', 'Access Token Manipulation', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Network Service Scanning', 'Clipboard Data', 'File and Directory Discovery', 'Input Capture', 'System Network Configuration Discovery', 'System Information Discovery', 'Peripheral Device Discovery', 'Service Execution', 'Application Window Discovery', 'Email Collection', 'Data Compressed', 'Kernel Modules and Extensions', 'Process Discovery', 'Commonly Used Port', 'System Owner/User Discovery']"
6c031f1281672353a52efb4e936137796ac13ff170d644d444eedc2e72009fcf,malicious,['evasive'],"['Modify Registry', 'Access Token Manipulation', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Clipboard Data', 'File and Directory Discovery', 'Input Capture', 'System Network Configuration Discovery', 'System Information Discovery', 'Peripheral Device Discovery', 'Service Execution', 'Application Window Discovery', 'Email Collection', 'Data Compressed', 'Kernel Modules and Extensions', 'Process Discovery', 'Commonly Used Port', 'System Owner/User Discovery']"
4b821e645f13f196f8b07d009fa870cc97bc6b2ffd881d98ec2346563c4a2bd0,malicious,['evasive'],"['Kernel Modules and Extensions', 'Clipboard Data', 'Modify Registry', 'File and Directory Discovery', 'Service Execution', 'Input Capture', 'Access Token Manipulation', 'Application Window Discovery', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Owner/User Discovery', 'System Information Discovery', 'Peripheral Device Discovery']"
95820520644f484e9ed4ab1d5ee6a706d117205108683268a5458c0725a03691,malicious,['evasive'],"['Kernel Modules and Extensions', 'Clipboard Data', 'Modify Registry', 'File and Directory Discovery', 'Process Discovery', 'Service Execution', 'Input Capture', 'Access Token Manipulation', 'Application Window Discovery', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Email Collection', 'Data Compressed', 'System Information Discovery', 'Peripheral Device Discovery', 'Network Service Scanning']"
a4ddcab323ffd86f12331c00d57919908d88882510acd04e76d3e1d381a75475,malicious,['macros-on-open'],"['Commonly Used Port', 'Service Execution', 'User Execution', 'Office Application Startup', 'Application Window Discovery', 'Process Injection', 'Hooking']"
92f012026d5768fd919c4b8233761d219a3cf13e2cb8e963ec3e3c9878220279,malicious,"['financial', 'zeus1134']","['Modify Registry', 'File Deletion', 'Remote Desktop Protocol', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Network Service Scanning', 'Input Capture', 'System Information Discovery', 'Execution through Module Load', 'Command-Line Interface', 'Application Window Discovery', 'Email Collection', 'Data Compressed', 'Kernel Modules and Extensions', 'Process Discovery', 'Registry Run Keys / Start Folder', 'System Owner/User Discovery']"
77ae541c2bc251bcc0c865ec507395c21f1d544a3f20432ba935dd8fa60848fc,malicious,[],"['Kernel Modules and Extensions', 'Windows Management Instrumentation', 'Remote Desktop Protocol', 'Query Registry', 'Hooking', 'Data Compressed', 'Peripheral Device Discovery']"
93fd169e434238fe15080e4c5a52dec6521bdde148b00f8e1c882d7ca049b71b,malicious,[],"['Application Window Discovery', 'Service Execution', 'Process Injection', 'Hooking']"
39db5e47315d76821a1169113bf708a9760f7058f299cc67b3c1033166e4c254,malicious,['evasive'],"['Kernel Modules and Extensions', 'Uncommonly Used Port', 'Modify Registry', 'Process Discovery', 'Windows Management Instrumentation', 'Commonly Used Port', 'Registry Run Keys / Start Folder', 'Security Software Discovery', 'Local Job Scheduling', 'Remote Desktop Protocol', 'Application Window Discovery', 'Query Registry', 'Process Injection', 'Email Collection', 'Unknown technique']"
eeb1b02e4f3d595d7d8ecba04453ffb6fd28799c146644a5bd0e7b4dc64864d5,malicious,[],"['Uncommonly Used Port', 'Modify Registry', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Process Injection', 'Email Collection', 'Custom Command and Control Protocol', 'Unknown technique']"
7410597531f22a3f89bb8d133488252360c5dc701862f86c4f60fd79722f7e37,malicious,[],"['Kernel Modules and Extensions', 'Commonly Used Port', 'Registry Run Keys / Start Folder', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Process Injection', 'Hooking', 'Data Compressed', 'Network Service Scanning']"
32ec329301aa4547b4ef4800159940feb950785f1ab68d85a14d363e0ff2bc11,malicious,[],"['Kernel Modules and Extensions', 'File and Directory Discovery', 'Commonly Used Port', 'Bootkit', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery', 'Peripheral Device Discovery']"
c66ef8652e15b579b409170658c95d35cfd6231c7ce030b172692f911e7dcff8,malicious,[],"['Data Compressed', 'Query Registry', 'System Time Discovery', 'Hooking']"
0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,malicious,[],"['Kernel Modules and Extensions', 'File and Directory Discovery', 'Commonly Used Port', 'Service Execution', 'Bootkit', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery', 'Peripheral Device Discovery', 'Network Service Scanning']"
757cd920d844fdcb04582a89b55f62b9a3e9bf73804abf94c9a9e15d06030b93,malicious,[],"['Kernel Modules and Extensions', 'File and Directory Discovery', 'Commonly Used Port', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery', 'Network Service Scanning']"
f8f7720785f7e75bd6407ac2acd63f90ab6c2907d3619162dc41a8ffa40a5d03,malicious,[],"['Kernel Modules and Extensions', 'File and Directory Discovery', 'Service Execution', 'Bootkit', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery', 'Peripheral Device Discovery']"
73dcb7639c1f81d3f7c4931d32787bdf07bd98550888c4b29b1058b2d5a7ca33,malicious,[],"['Kernel Modules and Extensions', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery']"
2876ff512fd7c8934c9ca1ef49f378422addc7965c4a9f1e6f584af19ddf719c,malicious,"['fallchill', 'backdoor']","['Kernel Modules and Extensions', 'Uncommonly Used Port', 'File and Directory Discovery', 'Commonly Used Port', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery']"
b9a26a569257fbe02c10d3735587f10ee58e4281dba43474dbdef4ace8ea7101,malicious,[],"['Kernel Modules and Extensions', 'File and Directory Discovery', 'Commonly Used Port', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery']"
cd5ff67ff773cc60c98c35f9e9d514b597cbd148789547ba152ba67bfc0fec8f,malicious,[],"['System Time Discovery', 'Data Compressed', 'Process Injection', 'Hooking']"
2f629c3c65c286c7f55929e3d0148722c768c730a7d172802afe4496c0abd683,malicious,"['fallchill', 'backdoor']","['Kernel Modules and Extensions', 'Commonly Used Port', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery']"
05feed9762bc46b47a7dc5c469add9f163c16df4ddaafe81983a628da5714461,malicious,[],"['Data Compressed', 'System Time Discovery', 'Hooking']"
92cc25e9a87765586e05a8246f7edb43df1695d2350ed921df403bdec12ad889,malicious,"['fallchill', 'backdoor']","['Kernel Modules and Extensions', 'Uncommonly Used Port', 'File and Directory Discovery', 'Commonly Used Port', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery']"
520778a12e34808bd5cf7b3bdf7ce491781654b240d315a3a4d7eff50341fb18,malicious,"['fallchill', 'backdoor']","['Kernel Modules and Extensions', 'Uncommonly Used Port', 'File and Directory Discovery', 'Commonly Used Port', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery']"
aaf4467eb67195527d4cad485e63f3d3302c50604dd4398ae9a64d337519a897,malicious,"['fallchill', 'backdoor']","['Kernel Modules and Extensions', 'Uncommonly Used Port', 'File and Directory Discovery', 'Commonly Used Port', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery']"
b05aae59b3c1d024b19c88448811debef1eada2f51761a5c41e70da3db7615a9,malicious,[],"['Kernel Modules and Extensions', 'Uncommonly Used Port', 'File and Directory Discovery', 'Commonly Used Port', 'Registry Run Keys / Start Folder', 'Command-Line Interface', 'Remote Desktop Protocol', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery']"
bb7b503a476d7584a58fb53b5fa32d0ac791b5149b1388196d6352ce4fbbfab4,malicious,[],"['Kernel Modules and Extensions', 'Commonly Used Port', 'Registry Run Keys / Start Folder', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Hooking', 'Data Compressed', 'Network Service Scanning']"
fe43bc385b30796f5e2d94dfa720903c70e66bc91dfdcfb2f3986a1fea3fe8c5,malicious,[],"['Kernel Modules and Extensions', 'Bootkit', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery', 'Peripheral Device Discovery']"
907aab069a85c708bfb7e031d04fc3da0b94704c1e02e0877efa886b55d3a32a,malicious,[],"['Kernel Modules and Extensions', 'Commonly Used Port', 'Registry Run Keys / Start Folder', 'Remote Desktop Protocol', 'Query Registry', 'System Time Discovery', 'Hooking', 'Data Compressed']"
0557b49e504c846b50b40af8cf6ee92bf222676963b7f4f324b475dd67971257,malicious,[],"['Data Compressed', 'Hooking']"
